"old_path","new_path","sha256_before","sha256_after","size_bytes","category","reason","reference_audit","moved_at","restore_command"
"city_selection_debug_run.mjs","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\city_selection_debug_run.mjs","C8A42EF695E109C96BA2EC530E9EBFF8EE61F771F2A475F1166E2D6406C4EF19","C8A42EF695E109C96BA2EC530E9EBFF8EE61F771F2A475F1166E2D6406C4EF19","3436","E_TEST_AUDIT","root test runner not in package.json scripts","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\city_selection_debug_run.mjs' 'D:\cursor\operativ-navigator_260614\city_selection_debug_run.mjs' -Force"
"lkg_smoke_run.mjs","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\lkg_smoke_run.mjs","8417C3574BD9C62E9D7DF4598B2C84C4D66D16AD6FCE080A12ADE24A04CFC728","8417C3574BD9C62E9D7DF4598B2C84C4D66D16AD6FCE080A12ADE24A04CFC728","6789","E_TEST_AUDIT","root test runner not in package.json scripts","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\lkg_smoke_run.mjs' 'D:\cursor\operativ-navigator_260614\lkg_smoke_run.mjs' -Force"
"merge_test_run.mjs","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\merge_test_run.mjs","3823A8271989A36778ED483D720ADE34EB6A5F4B9F6CDF58C8E8E6E2DD21A419","3823A8271989A36778ED483D720ADE34EB6A5F4B9F6CDF58C8E8E6E2DD21A419","9068","E_TEST_AUDIT","root test runner not in package.json scripts","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\merge_test_run.mjs' 'D:\cursor\operativ-navigator_260614\merge_test_run.mjs' -Force"
"patch_test_run.mjs","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\patch_test_run.mjs","5D1305F692E080E2AD44C1CBAF951392B7EE027EA13D1D3E2AD64C2A0434A063","5D1305F692E080E2AD44C1CBAF951392B7EE027EA13D1D3E2AD64C2A0434A063","3282","E_TEST_AUDIT","root test runner not in package.json scripts","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\patch_test_run.mjs' 'D:\cursor\operativ-navigator_260614\patch_test_run.mjs' -Force"
"v30_regression_test.mjs","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\v30_regression_test.mjs","CF6FEFE37B6DDA319185C3C7DDAF139F9FD8DC4A1AB81EF4A2FD49B2BC000E05","CF6FEFE37B6DDA319185C3C7DDAF139F9FD8DC4A1AB81EF4A2FD49B2BC000E05","14036","E_TEST_AUDIT","root test runner not in package.json scripts","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\v30_regression_test.mjs' 'D:\cursor\operativ-navigator_260614\v30_regression_test.mjs' -Force"
"tmp_rent_inquiries.json","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\tmp_rent_inquiries.json","92382B5CD4E43B3DE6C2134B758251B518F8FE8194EC07A9F1F4DE642897FEB9","92382B5CD4E43B3DE6C2134B758251B518F8FE8194EC07A9F1F4DE642897FEB9","897","H_TEMP_OUTPUT","temp export","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\tmp_rent_inquiries.json' 'D:\cursor\operativ-navigator_260614\tmp_rent_inquiries.json' -Force"
"frontend\rent\public.pre-lab-backup.html","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\frontend\rent\public.pre-lab-backup.html","0FB77A856217D3439E1AF3F7A0375B077521A9AC0C4A463F79E6E17E86BF0D8C","0FB77A856217D3439E1AF3F7A0375B077521A9AC0C4A463F79E6E17E86BF0D8C","98562","G_BACKUP_DUPLICATE","not active /rent/public; backup copy","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\frontend\rent\public.pre-lab-backup.html' 'D:\cursor\operativ-navigator_260614\frontend\rent\public.pre-lab-backup.html' -Force"
"frontend\rent\public.lab-proxy-validation.html","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\frontend\rent\public.lab-proxy-validation.html","55F035DB8AAB0B620574804CD6123888FE8A1ABC44D16D70E07652BF3599ED52","55F035DB8AAB0B620574804CD6123888FE8A1ABC44D16D70E07652BF3599ED52","101111","G_BACKUP_DUPLICATE","not active /rent/public; backup copy","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\frontend\rent\public.lab-proxy-validation.html' 'D:\cursor\operativ-navigator_260614\frontend\rent\public.lab-proxy-validation.html' -Force"
"frontend\rent\public_lab_restore_test.html","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\frontend\rent\public_lab_restore_test.html","0FB77A856217D3439E1AF3F7A0375B077521A9AC0C4A463F79E6E17E86BF0D8C","0FB77A856217D3439E1AF3F7A0375B077521A9AC0C4A463F79E6E17E86BF0D8C","98562","G_BACKUP_DUPLICATE","not active /rent/public; backup copy","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\frontend\rent\public_lab_restore_test.html' 'D:\cursor\operativ-navigator_260614\frontend\rent\public_lab_restore_test.html' -Force"
"backup\fronted_rent_260625.zip","D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backup\fronted_rent_260625.zip","84D8468EE37579195B168D94C286E23D8B7691B3DBA543F37D8A9B4B485B0CF4","84D8468EE37579195B168D94C286E23D8B7691B3DBA543F37D8A9B4B485B0CF4","3673592","G_BACKUP_DUPLICATE","archive zip not runtime","no runtime ref","2026-06-26T20:21:20.8691753+02:00","Move-Item 'D:\cursor\Labor\_quarantine\operativ-navigator_260614_cleanup_20260626_201630\backup\fronted_rent_260625.zip' 'D:\cursor\operativ-navigator_260614\backup\fronted_rent_260625.zip' -Force"
